frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:37.625549394 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:37.657068470 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.657108521 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:37.668673975 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:37.668674414 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:37.669679786 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:37.766117108 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.766117497 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:37.766172578 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:37.852753040 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:37.852797291 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:37.915908716 PKT,192.168.100.39,23.61.250.125,6,55170,443,,
Apr  1, 2026 21:29:37.926125325 PKT,192.168.100.39,157.240.227.60,6,56922,5222,,
Apr  1, 2026 21:29:38.030150370 PKT,157.240.227.60,192.168.100.39,6,5222,56922,,
Apr  1, 2026 21:29:38.058848889 PKT,23.61.250.125,192.168.100.39,6,443,55170,,
Apr  1, 2026 21:29:38.242715829 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:38.243179477 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:38.284693513 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:38.284694157 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:38.284777158 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:38.413781706 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:38.413887149 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:38.526734235 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:38.722690356 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:38.790162491 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:38.790222046 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:38.835592347 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:38.835653970 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:39.006968618 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:39.006969412 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:39.006970001 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:39.007249756 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:39.012602420 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:39.747930659 PKT,192.168.100.39,35.190.80.1,6,40210,443,,
Apr  1, 2026 21:29:39.756750812 PKT,192.168.100.228,224.0.0.251,17,,,5353,5353
