frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:07.668801262 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.671145651 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.671146507 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
Apr  1, 2026 21:29:07.671146812 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.671147062 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.671249890 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:07.671306336 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.671399672 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.671399979 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.671400904 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.671401800 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:29:07.671402084 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.671402331 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.671402581 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.671402821 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.671500171 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.671733953 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.671734359 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.671734680 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.671735020 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.671735367 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.671735707 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.676849123 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.677615933 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.679334189 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.680001579 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.680387793 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.681174017 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.682445123 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.682555686 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.694156903 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.694966878 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.695833707 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.698696625 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:07.706701359 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.708216638 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.945676555 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.945677555 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.945677847 PKT,142.251.38.3,192.168.100.39,17,,,443,59806
Apr  1, 2026 21:29:07.945678179 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.945678465 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:07.945678812 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.945679151 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.945679500 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.945973381 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.945973805 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.946233299 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
Apr  1, 2026 21:29:07.946233720 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
Apr  1, 2026 21:29:07.946234060 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
